Usuario,Pregunta1,Pregunta2,Pregunta3,Pregunta4,Pregunta5,Pregunta6,Pregunta7,Pregunta8,Pregunta9,Pregunta10
Usuario213,3,4,2,5,2,5,4,2,5,4
Usuario214,3,4,5,3,5,5,2,5,2,2
Usuario215,3,5,5,1,1,1,5,2,1,3
Usuario216,3,3,4,2,1,2,5,4,5,5
Usuario217,1,2,1,1,5,2,3,3,5,4
Usuario218,5,5,5,1,4,1,5,4,3,2
Usuario219,2,1,2,4,1,5,5,1,3,2
Usuario220,1,5,5,4,2,4,5,3,2,3
Usuario221,1,5,1,5,4,2,4,2,1,1
Usuario222,3,4,3,1,4,2,5,3,1,5
Usuario223,5,4,2,5,3,1,2,4,1,4
Usuario224,2,4,1,5,4,4,5,3,3,5
Usuario225,4,4,2,1,2,3,5,3,5,2
Usuario226,5,1,5,5,1,1,3,5,1,2
Usuario227,2,2,5,1,2,4,4,3,3,4
Usuario228,4,2,3,4,5,4,4,2,3,3
Usuario229,3,4,3,2,1,3,1,1,3,4
Usuario230,3,3,5,2,3,5,1,1,3,1
Usuario231,2,5,4,2,2,5,5,4,1,2
Usuario232,2,3,4,1,5,5,5,2,1,4
Usuario233,2,1,2,5,3,4,1,3,5,2
Usuario234,1,1,1,3,1,2,2,5,4,2
Usuario235,4,1,1,4,3,5,3,1,1,5
Usuario236,5,2,1,2,5,3,3,5,4,5
Usuario237,3,1,1,3,1,1,1,2,1,5
Usuario238,5,2,2,3,1,5,2,4,1,3
Usuario239,5,1,1,5,3,4,4,3,5,3
Usuario240,4,5,3,1,5,3,1,2,3,2
Usuario241,1,5,3,3,5,5,2,1,2,3
Usuario242,2,5,4,1,3,4,3,5,3,2
Usuario243,4,5,1,3,4,3,1,2,5,4
Usuario244,5,4,4,1,4,1,5,5,1,4
Usuario245,2,1,1,2,2,1,5,5,3,2
Usuario246,3,1,4,5,2,4,2,1,3,4
Usuario247,2,2,2,3,5,2,3,5,2,5
Usuario248,4,5,4,4,5,2,1,4,5,3
Usuario249,5,5,3,2,3,3,2,2,1,2
Usuario250,3,4,2,1,5,5,1,3,3,2
Usuario251,4,3,4,4,1,5,4,4,2,4
Usuario252,5,5,3,3,3,1,2,2,4,4
Usuario253,1,4,3,4,4,2,5,5,1,5
Usuario254,1,2,2,1,2,2,1,2,1,3
Usuario255,3,5,3,2,5,5,4,4,1,4
Usuario256,2,3,1,2,2,5,1,4,4,3
Usuario257,5,2,3,4,1,5,5,2,4,1
Usuario258,3,1,3,2,5,1,3,5,4,3
Usuario259,1,1,3,5,2,2,5,3,4,3
Usuario260,2,2,3,1,2,1,4,1,1,1
Usuario261,5,5,2,3,2,4,3,4,3,5
Usuario262,4,2,1,4,1,3,3,3,1,2
Usuario263,5,4,2,5,3,3,4,4,4,1
Usuario264,2,1,3,5,2,2,1,1,1,4
Usuario265,3,4,5,2,2,1,4,3,5,2
Usuario266,5,3,3,1,3,5,2,3,2,3
Usuario267,2,3,2,5,1,3,2,3,5,2
Usuario268,5,4,3,5,4,5,3,3,2,2
Usuario269,4,3,3,3,3,4,5,4,1,4
Usuario270,1,5,4,4,5,4,4,3,2,1
Usuario271,1,3,2,4,3,4,2,1,3,4
Usuario272,3,1,3,3,1,5,5,4,4,4
Usuario273,3,4,1,2,2,1,2,4,5,5
Usuario274,2,2,3,5,5,1,4,5,4,2
Usuario275,3,3,5,4,5,3,1,3,1,3
Usuario276,2,1,4,5,1,1,1,5,3,2
Usuario277,1,4,4,4,5,3,3,1,5,5
Usuario278,3,1,5,5,5,3,2,2,3,4
Usuario279,3,1,5,3,4,4,4,5,1,2
Usuario280,2,4,5,2,4,4,4,1,5,3
Usuario281,4,1,5,4,5,5,2,1,4,1
Usuario282,1,2,2,5,1,1,1,4,4,5
Usuario283,2,5,3,2,3,3,1,1,3,4
Usuario284,2,3,3,3,5,5,2,4,1,2
Usuario285,3,4,2,5,4,2,2,2,3,3
Usuario286,3,3,2,3,4,2,2,5,5,1
Usuario287,2,5,1,5,1,1,3,4,4,1
Usuario288,1,4,4,2,2,2,3,1,4,3
Usuario289,3,5,1,2,2,2,5,2,1,2
Usuario290,4,3,1,3,1,1,2,1,1,4
Usuario291,4,4,5,3,4,3,5,3,5,4
Usuario292,5,1,5,3,4,3,2,5,4,3
Usuario293,1,2,5,4,2,4,2,2,3,1
Usuario294,4,2,2,4,4,4,3,1,5,2
Usuario295,5,4,4,2,1,4,4,4,3,5
Usuario296,3,1,2,2,4,2,1,2,1,2
Usuario297,5,3,4,4,1,2,1,1,2,4
Usuario298,5,5,3,1,1,5,3,1,1,4
Usuario299,1,2,5,4,4,2,1,5,5,2
Usuario300,4,4,2,2,2,1,3,1,1,1
Usuario301,5,5,1,4,3,2,5,5,1,3
Usuario302,5,1,3,5,3,4,1,2,4,2
Usuario303,5,1,2,1,2,4,1,5,3,5
Usuario304,2,5,1,3,1,2,4,3,1,1
Usuario305,4,1,4,1,3,5,2,5,5,2
Usuario306,1,3,3,2,3,4,5,4,4,3
Usuario307,4,3,2,5,2,3,5,4,5,3
Usuario308,4,1,2,3,5,4,1,3,3,4
Usuario309,4,3,3,4,1,4,5,3,3,3
Usuario310,4,1,5,4,2,3,3,1,3,1
Usuario311,1,1,1,2,1,4,4,1,1,4
Usuario312,1,3,2,3,4,4,2,1,5,5
Usuario313,3,1,3,2,3,4,5,2,4,4
Usuario314,5,2,1,3,5,3,2,2,5,1
Usuario315,4,2,1,1,3,2,4,3,4,3
Usuario316,4,3,3,4,1,1,3,5,2,3
Usuario317,5,1,2,4,1,1,2,1,4,3
Usuario318,3,2,2,1,3,5,2,1,3,5
Usuario319,3,2,4,5,1,5,5,2,4,5
Usuario320,3,3,1,5,5,5,5,3,3,4
Usuario321,5,1,2,4,4,4,5,2,1,1
Usuario322,1,1,3,1,1,4,1,2,5,1
Usuario323,4,5,3,1,2,5,4,5,4,4
Usuario324,2,4,3,1,3,1,3,1,4,1
Usuario325,4,1,2,2,4,3,5,2,3,4
Usuario326,2,4,3,2,4,3,4,3,4,4
Usuario327,2,1,2,2,4,2,4,3,3,2
Usuario328,4,4,1,5,1,1,5,1,3,3
Usuario329,4,2,4,5,2,1,1,4,4,5
Usuario330,4,2,1,5,1,5,4,3,4,2
Usuario331,5,1,2,4,2,3,2,5,2,1
Usuario332,4,1,1,4,2,3,5,5,2,2
Usuario333,1,4,5,1,4,4,2,4,1,3
Usuario334,2,1,3,5,2,5,1,3,5,1
Usuario335,1,3,1,5,4,4,4,1,5,2
Usuario336,1,5,5,3,3,2,1,4,4,4
Usuario337,1,2,3,1,5,2,4,5,4,5
Usuario338,3,1,2,2,4,4,5,5,1,5
Usuario339,5,1,4,5,1,2,2,1,5,1
Usuario340,3,3,1,4,4,4,3,2,2,4
Usuario341,5,3,5,2,5,2,2,2,1,3
Usuario342,5,5,4,5,1,5,5,5,5,4
Usuario343,3,3,1,2,3,5,4,3,1,4
Usuario344,3,2,5,3,1,1,5,3,4,4
Usuario345,4,2,5,5,1,5,1,1,1,1
Usuario346,3,2,1,2,4,5,5,5,3,5
Usuario347,2,2,4,5,2,1,2,4,3,3
Usuario348,1,2,3,4,1,3,4,2,5,2
Usuario349,4,4,4,3,3,1,2,3,4,4
Usuario350,2,3,5,3,1,2,3,4,4,2
Usuario351,5,5,1,1,1,5,4,3,2,1
Usuario352,2,1,1,5,1,1,3,5,4,5
Usuario353,2,1,3,3,5,1,2,2,3,4
Usuario354,4,3,4,5,3,1,1,3,1,1
Usuario355,4,2,5,2,2,3,4,5,3,1
Usuario356,5,5,3,1,3,5,3,5,3,5
Usuario357,2,2,2,3,2,2,1,5,1,1
Usuario358,3,5,2,1,2,4,3,4,4,1
Usuario359,2,5,5,3,2,2,1,3,1,5
Usuario360,3,2,1,5,3,3,1,2,2,2
Usuario361,4,3,2,5,1,3,5,5,1,2
Usuario362,4,4,2,2,2,5,4,1,3,3
Usuario363,1,2,3,5,2,1,2,3,4,2
Usuario364,1,1,5,5,2,3,5,4,4,4
Usuario365,1,2,1,4,4,3,5,1,1,2
Usuario366,4,5,5,2,4,4,5,1,5,5
Usuario367,1,1,1,2,3,1,5,3,5,5
Usuario368,4,1,1,4,4,2,5,1,3,3
Usuario369,1,1,1,5,1,5,2,1,3,1
Usuario370,2,3,3,1,3,1,3,5,1,2
Usuario371,1,5,2,4,1,5,4,2,2,2
Usuario372,4,1,4,5,5,2,4,3,4,2
Usuario373,4,5,2,2,3,2,1,2,1,4
Usuario374,2,5,3,1,1,5,1,4,1,1
Usuario375,2,4,4,3,5,4,5,5,1,1
Usuario376,3,4,5,1,3,1,2,3,3,2
Usuario377,5,3,5,3,4,4,3,3,2,1
Usuario378,1,2,4,1,5,4,1,3,2,4
Usuario379,5,3,4,5,5,2,4,5,1,5
Usuario380,4,3,3,2,2,1,2,5,2,5
Usuario381,5,4,5,1,5,3,2,2,3,3
Usuario382,4,3,4,2,4,1,2,1,1,1
Usuario383,5,1,3,1,2,2,2,1,2,3
Usuario384,1,3,2,5,1,1,1,5,1,2
Usuario385,1,1,1,1,5,1,1,5,5,2
Usuario386,4,5,1,1,2,1,4,5,2,1
Usuario387,4,3,1,3,3,2,3,2,4,5
Usuario388,5,2,4,1,4,2,4,5,5,2
Usuario389,3,1,4,4,3,3,4,4,3,2
Usuario390,2,4,2,5,5,4,3,1,1,4
Usuario391,4,2,4,2,2,5,3,4,4,1
Usuario392,5,4,2,4,4,2,5,4,3,1
Usuario393,5,3,3,4,3,5,3,2,3,5
Usuario394,5,3,1,3,1,2,2,5,1,1
Usuario395,2,1,4,4,3,1,3,2,2,5
Usuario396,2,2,5,3,4,1,5,2,5,4
Usuario397,1,2,3,5,1,1,1,1,5,2
Usuario398,4,1,5,4,2,5,3,1,2,2
Usuario399,2,3,2,1,5,1,2,3,2,2
Usuario400,3,3,5,3,1,2,3,5,1,4
Usuario401,2,4,4,3,1,1,2,4,1,2
Usuario402,2,4,2,3,1,3,5,2,1,3
Usuario403,5,4,5,3,2,4,1,3,1,4
Usuario404,4,4,4,2,3,5,5,4,4,4
Usuario405,4,5,2,1,4,5,3,1,2,4
Usuario406,1,4,4,1,1,1,3,2,4,5
Usuario407,1,1,4,1,5,2,1,3,4,2
Usuario408,1,1,5,3,1,3,2,3,5,4
Usuario409,3,4,4,5,4,5,1,5,3,3
Usuario410,3,3,3,4,1,1,1,1,1,3
Usuario411,2,2,5,5,1,3,3,1,2,2
Usuario412,3,5,4,1,3,2,3,5,2,3
Usuario413,4,2,2,2,2,4,5,2,3,3
Usuario414,3,4,3,1,4,4,5,1,1,1
Usuario415,3,5,3,5,1,5,4,2,4,2
Usuario416,2,4,5,4,3,3,5,1,1,4
Usuario417,5,3,4,2,4,2,4,1,2,3
Usuario418,3,4,4,1,1,2,4,5,4,1
Usuario419,5,4,3,2,2,4,1,3,1,3
Usuario420,2,2,4,2,4,3,4,3,5,1
Usuario421,4,3,5,1,1,4,2,2,1,5
Usuario422,3,4,4,3,3,3,4,4,5,1
Usuario423,3,3,4,3,4,3,5,4,4,1
Usuario424,4,4,2,1,3,1,2,1,1,5
Usuario425,5,3,2,4,5,1,4,2,1,2
Usuario426,4,3,2,1,5,1,5,3,2,5
Usuario427,1,3,2,1,4,1,2,3,4,3
Usuario428,2,4,4,2,5,2,3,3,5,3
Usuario429,1,5,1,2,1,2,3,3,5,1
Usuario430,2,5,4,4,2,5,5,5,2,3
Usuario431,3,5,2,2,3,3,5,4,1,3
Usuario432,3,1,3,3,4,5,3,2,4,5
Usuario433,4,1,3,1,1,1,1,4,2,4
Usuario434,5,4,2,4,2,5,4,4,3,5
Usuario435,3,2,4,1,1,1,5,1,3,2
Usuario436,2,4,4,3,5,2,3,3,4,5
Usuario437,5,5,4,1,1,5,5,4,4,1
Usuario438,2,5,1,1,3,4,3,2,4,3
Usuario439,3,2,3,5,5,4,2,1,3,1
Usuario440,1,3,5,2,5,3,5,1,1,1
Usuario441,1,5,4,5,1,2,1,5,3,5
Usuario442,4,3,4,5,4,2,5,4,1,3
Usuario443,4,1,5,3,5,4,5,2,4,1
Usuario444,4,4,5,5,3,3,1,4,1,4
Usuario445,1,2,4,2,5,4,3,2,1,3
Usuario446,3,5,3,5,5,4,2,4,1,1
Usuario447,2,5,3,2,1,2,4,4,5,5
Usuario448,5,4,1,5,1,2,3,1,5,3
Usuario449,5,4,5,1,4,4,3,4,1,4
Usuario450,1,3,3,1,4,4,5,1,2,5
Usuario451,5,4,3,2,4,3,1,4,2,2
Usuario452,5,3,1,5,5,3,3,3,5,4
Usuario453,4,2,2,3,1,4,5,2,3,1
Usuario454,4,1,1,1,2,3,1,4,1,1
Usuario455,4,3,2,3,2,3,2,3,1,5
Usuario456,1,3,5,2,3,3,5,5,5,3
Usuario457,3,5,5,1,5,1,3,4,4,4
Usuario458,5,5,4,5,5,4,5,2,4,5
Usuario459,5,5,2,3,4,1,1,3,5,5
Usuario460,2,4,2,5,2,3,4,3,1,5
Usuario461,5,3,2,5,1,2,2,5,5,3
Usuario462,4,5,4,3,2,1,5,5,2,4
Usuario463,1,3,4,2,2,5,3,5,4,4
Usuario464,5,4,2,5,3,4,2,3,1,3
Usuario465,3,1,5,1,3,3,5,4,1,4
Usuario466,3,2,4,4,3,3,1,4,2,4
Usuario467,2,5,5,4,4,2,5,1,1,2
Usuario468,4,3,4,5,1,3,4,1,3,1
Usuario469,2,4,2,4,3,5,5,3,1,3
Usuario470,4,3,1,3,3,4,5,4,5,3
Usuario471,5,4,5,4,2,4,5,5,5,4
Usuario472,5,4,4,2,4,1,5,1,1,4
Usuario473,4,2,1,5,4,4,1,5,4,3
Usuario474,3,2,2,2,5,2,2,4,5,4
Usuario475,4,1,1,2,2,3,1,3,4,3
Usuario476,1,5,2,5,4,2,2,5,4,5
Usuario477,1,4,4,4,3,5,1,3,2,5
Usuario478,4,4,1,3,2,1,5,3,2,1
Usuario479,5,4,2,2,5,3,4,4,4,5
Usuario480,4,5,2,2,5,1,1,5,2,5
Usuario481,5,5,1,1,1,1,5,3,5,4
Usuario482,3,1,1,3,2,3,5,1,5,3
Usuario483,1,5,1,3,2,4,5,5,5,3
Usuario484,4,3,5,5,5,2,2,1,5,4
Usuario485,2,1,2,2,5,4,5,5,5,5
Usuario486,1,1,2,1,2,2,4,2,5,4
Usuario487,3,4,5,1,2,3,3,5,5,2
Usuario488,3,2,5,2,2,3,5,2,2,2
Usuario489,1,2,1,3,5,2,4,3,2,3
Usuario490,1,1,4,2,2,3,2,2,1,2
Usuario491,2,2,1,3,2,4,1,4,1,3
Usuario492,3,5,2,2,1,3,5,2,1,3
Usuario493,3,3,4,2,2,3,2,3,5,3
Usuario494,5,4,2,5,3,1,5,5,5,1
Usuario495,2,2,5,1,5,5,4,4,2,2
Usuario496,2,5,5,4,1,5,1,5,2,3
Usuario497,5,2,3,5,4,4,2,5,2,1
Usuario498,1,2,5,3,2,5,1,4,5,5
Usuario499,5,1,1,2,1,5,1,4,5,1
Usuario500,2,5,5,2,3,1,1,2,2,1
Usuario501,4,1,2,5,2,4,2,5,4,4
Usuario502,3,1,4,3,3,1,5,5,2,2
Usuario503,4,5,5,5,4,4,4,3,5,4
Usuario504,1,4,2,4,3,5,2,1,5,1
Usuario505,5,4,1,3,3,3,2,2,3,5
Usuario506,1,5,2,3,4,4,3,2,3,3
Usuario507,2,3,3,4,5,5,2,1,4,4
Usuario508,2,4,4,4,1,1,4,4,4,3
Usuario509,3,2,2,2,4,3,3,5,1,5
Usuario510,5,3,3,4,5,1,4,1,4,3
Usuario511,1,5,4,4,3,4,4,3,1,3
Usuario512,3,2,3,3,2,4,4,3,2,3
Usuario513,2,3,3,2,2,1,4,1,3,2
Usuario514,4,1,5,4,1,1,2,2,3,5
Usuario515,4,1,3,3,3,4,2,3,1,2
Usuario516,4,5,4,5,3,3,2,3,2,2
Usuario517,4,5,4,3,4,2,1,2,4,1
Usuario518,3,4,2,1,3,3,1,3,5,5
Usuario519,5,1,5,4,4,4,1,4,5,5
Usuario520,2,3,5,2,2,3,2,3,5,2
Usuario521,1,3,2,3,4,1,5,2,3,2
Usuario522,5,3,3,2,5,1,4,2,3,1
Usuario523,4,2,1,2,4,4,1,5,4,1
Usuario524,3,5,2,1,1,1,3,3,1,2
Usuario525,1,3,5,3,2,5,5,1,2,4
Usuario526,2,4,1,5,4,5,4,2,1,1
Usuario527,1,2,1,1,2,1,1,5,1,5
Usuario528,5,3,5,4,4,1,1,4,1,4
Usuario529,5,1,3,3,1,1,3,2,4,1
Usuario530,5,3,4,3,1,3,4,1,5,4
Usuario531,1,5,1,1,1,2,2,2,3,1
Usuario532,4,1,1,1,2,3,1,5,3,1
