Usuario,Pregunta1,Pregunta2,Pregunta3,Pregunta4,Pregunta5,Pregunta6,Pregunta7,Pregunta8,Pregunta9,Pregunta10
Usuario158,5,3,1,4,1,5,4,2,1,2
Usuario159,5,5,4,2,2,4,1,3,2,2
Usuario160,4,1,4,2,5,2,4,5,3,3
Usuario161,2,2,5,4,5,5,2,4,1,2
Usuario162,5,5,2,2,4,3,5,2,2,4
Usuario163,3,2,1,4,3,1,3,2,1,2
Usuario164,4,2,5,4,4,3,4,5,3,5
Usuario165,2,1,5,5,3,1,2,3,2,3
Usuario166,4,3,4,2,1,3,4,3,3,3
Usuario167,3,2,5,3,2,5,3,4,4,2
Usuario168,4,3,5,5,3,1,2,3,3,4
Usuario169,4,1,2,2,5,3,1,4,4,3
Usuario170,3,4,3,2,1,5,1,2,4,1
Usuario171,4,1,1,2,4,2,5,3,2,3
Usuario172,2,5,3,3,3,1,1,5,1,3
Usuario173,5,2,4,3,1,5,4,4,5,1
Usuario174,2,5,5,3,3,2,3,4,4,3
Usuario175,5,5,2,3,5,2,4,2,4,5
Usuario176,3,3,1,3,2,4,1,2,4,5
Usuario177,5,4,5,5,3,2,2,1,2,4
Usuario178,3,1,3,4,4,2,5,3,5,4
Usuario179,5,2,5,2,3,5,1,4,5,2
Usuario180,2,3,1,5,2,4,5,2,2,2
Usuario181,4,2,4,5,3,2,2,4,3,4
Usuario182,1,3,5,1,5,5,3,1,1,2
Usuario183,3,4,1,2,5,4,3,4,3,1
Usuario184,5,5,4,5,3,3,1,2,2,4
Usuario185,1,4,5,3,2,4,5,1,5,2
Usuario186,1,2,2,3,1,4,4,1,3,2
Usuario187,4,5,2,3,1,5,5,2,5,5
Usuario188,4,4,2,5,3,1,1,3,5,5
Usuario189,3,2,5,3,1,1,5,3,3,5
Usuario190,2,4,4,3,4,1,1,1,5,5
Usuario191,3,1,3,5,4,3,1,1,1,3
Usuario192,1,4,4,4,5,4,2,1,2,4
Usuario193,5,2,4,3,5,4,4,4,5,3
Usuario194,3,3,5,5,3,3,2,1,4,2
Usuario195,4,3,4,1,2,3,2,2,1,5
Usuario196,3,1,1,1,2,5,4,2,1,1
Usuario197,5,3,5,1,1,3,4,2,1,3
Usuario198,3,5,5,4,2,5,2,5,1,1
Usuario199,4,4,2,2,5,5,5,5,4,1
Usuario200,3,5,2,2,1,5,2,3,1,5
Usuario201,5,5,3,2,1,2,3,3,5,3
Usuario202,1,5,1,5,5,2,3,3,4,1
Usuario203,5,2,3,1,4,3,3,2,4,5
Usuario204,1,2,1,1,4,3,2,1,1,1
Usuario205,5,5,5,1,2,4,4,2,5,4
Usuario206,1,5,3,1,5,3,5,4,2,2
Usuario207,1,3,5,2,4,4,5,5,5,1
Usuario208,5,5,4,3,1,4,1,5,1,5
Usuario209,4,4,4,5,2,2,5,4,2,3
Usuario210,1,1,1,2,2,4,5,4,5,2
Usuario211,3,2,3,5,1,3,2,5,2,4
Usuario212,2,4,4,3,4,5,5,2,2,4
Usuario213,2,5,4,4,3,5,4,4,1,4
Usuario214,1,2,2,4,1,1,5,1,5,3
Usuario215,4,1,4,1,1,5,4,2,5,3
Usuario216,4,1,4,1,3,4,3,3,5,4
Usuario217,4,4,3,2,5,5,5,2,3,1
Usuario218,2,5,3,4,1,2,5,3,3,3
Usuario219,5,5,1,4,4,1,4,4,5,3
Usuario220,2,5,2,3,3,2,3,2,3,1
Usuario221,5,3,4,2,4,1,2,5,1,1
Usuario222,3,4,1,2,1,1,1,4,4,4
Usuario223,2,3,3,4,3,4,3,3,2,4
Usuario224,3,4,1,4,3,2,4,2,2,1
Usuario225,2,1,2,2,4,2,1,4,4,4
Usuario226,4,1,3,4,5,5,1,5,5,3
Usuario227,3,2,2,2,4,4,1,1,5,4
Usuario228,3,2,1,3,2,2,4,5,3,3
Usuario229,2,5,4,3,1,4,1,3,4,1
Usuario230,3,1,4,5,2,4,5,4,3,5
Usuario231,2,1,2,3,4,4,3,1,5,1
Usuario232,1,4,1,5,1,4,3,5,1,5
Usuario233,5,3,1,3,1,5,1,5,4,2
Usuario234,5,2,4,3,4,2,4,4,4,1
Usuario235,5,3,5,5,1,2,4,2,1,4
Usuario236,5,5,1,3,3,2,4,2,2,1
Usuario237,2,5,4,4,1,3,1,2,4,2
Usuario238,5,1,1,4,1,5,3,4,1,4
Usuario239,5,5,1,4,3,2,4,1,1,1
Usuario240,4,1,3,5,5,2,2,2,2,4
Usuario241,3,2,4,4,4,2,4,3,3,1
Usuario242,1,4,5,1,3,3,2,3,1,3
Usuario243,2,1,2,2,4,3,3,1,2,5
Usuario244,2,5,3,3,3,3,1,4,5,2
Usuario245,4,3,1,1,2,3,5,2,4,1
Usuario246,1,3,2,4,3,1,5,3,4,3
Usuario247,5,2,2,1,3,1,4,5,3,1
Usuario248,3,3,1,4,4,3,2,4,5,2
Usuario249,1,2,1,4,1,4,2,3,4,1
Usuario250,3,1,1,2,3,2,3,5,1,3
Usuario251,5,2,3,3,2,5,1,2,5,1
Usuario252,2,4,2,4,1,2,5,3,5,4
Usuario253,1,3,4,2,1,4,3,4,3,1
Usuario254,4,3,4,1,2,1,5,4,5,3
Usuario255,3,4,5,1,4,3,2,2,4,1
Usuario256,5,4,2,3,2,4,4,4,5,3
Usuario257,2,5,4,2,3,1,1,3,3,4
Usuario258,2,4,5,5,5,2,1,4,1,2
Usuario259,1,4,5,4,5,2,3,1,4,2
Usuario260,3,5,1,4,2,3,1,4,2,4
Usuario261,4,5,1,3,4,3,1,1,5,1
Usuario262,2,1,2,1,5,5,1,1,5,5
Usuario263,3,5,4,1,4,3,4,1,4,4
Usuario264,4,4,1,1,1,1,4,3,3,2
Usuario265,5,2,4,1,4,5,3,5,5,2
Usuario266,3,3,1,4,3,3,3,2,5,1
Usuario267,5,1,4,3,5,1,3,3,1,2
Usuario268,3,2,4,4,4,2,4,3,1,5
Usuario269,4,2,1,3,5,4,2,2,2,2
Usuario270,3,3,5,3,3,5,2,4,2,4
Usuario271,3,4,4,1,5,3,2,1,3,4
Usuario272,1,3,5,2,1,2,3,3,5,4
Usuario273,4,1,3,3,4,2,5,5,1,3
Usuario274,5,3,3,5,1,5,1,3,5,5
Usuario275,1,2,1,5,3,1,4,5,2,3
Usuario276,4,5,3,1,3,5,1,4,1,5
Usuario277,2,1,1,2,5,3,1,1,4,3
Usuario278,4,5,1,2,5,1,2,4,4,1
Usuario279,2,3,4,2,1,4,1,3,2,4
Usuario280,1,4,1,5,1,1,1,3,5,3
Usuario281,1,2,5,4,3,1,1,5,1,1
Usuario282,1,5,1,2,4,2,2,1,4,4
Usuario283,1,5,2,3,3,5,5,2,2,5
Usuario284,3,3,2,1,4,3,3,5,4,5
Usuario285,4,5,4,2,3,2,1,4,1,4
Usuario286,4,1,4,3,2,4,2,2,1,2
Usuario287,5,1,1,2,3,5,1,5,4,3
Usuario288,2,4,5,1,4,5,3,2,4,2
Usuario289,2,5,2,4,5,1,2,5,5,4
Usuario290,5,5,2,2,2,2,2,2,3,5
Usuario291,5,4,3,2,2,3,3,4,1,4
Usuario292,1,2,3,5,4,3,3,4,2,5
Usuario293,3,5,1,4,5,5,1,4,3,3
Usuario294,1,3,3,3,5,1,1,4,5,2
Usuario295,5,1,4,5,5,5,4,5,1,4
Usuario296,4,5,1,4,4,3,3,3,2,5
Usuario297,5,3,2,3,2,5,3,4,4,2
Usuario298,5,3,3,5,1,1,4,2,1,3
Usuario299,2,3,3,1,2,5,1,5,4,4
Usuario300,1,4,1,4,3,1,1,1,5,2
Usuario301,2,4,2,2,2,3,1,2,2,1
Usuario302,2,4,1,5,2,3,1,5,2,3
Usuario303,4,3,3,2,5,3,3,1,1,1
Usuario304,1,5,5,1,2,1,1,2,3,2
Usuario305,5,4,3,4,2,4,4,1,2,3
Usuario306,1,2,4,2,3,5,3,1,5,2
Usuario307,1,5,1,3,4,3,2,1,2,3
Usuario308,4,1,2,3,5,2,5,3,4,1
Usuario309,3,2,2,5,3,4,1,4,3,1
Usuario310,2,3,5,1,2,5,1,1,2,4
Usuario311,1,2,4,1,2,4,2,1,3,5
Usuario312,2,2,2,1,5,1,1,4,5,3
Usuario313,1,1,1,4,2,3,2,4,5,4
Usuario314,3,2,3,2,3,1,3,1,4,3
Usuario315,1,1,4,5,2,1,5,5,1,1
Usuario316,3,3,3,3,4,2,2,4,2,4
Usuario317,1,4,2,4,1,3,4,3,3,5
Usuario318,4,4,1,4,3,4,1,2,1,4
Usuario319,1,2,3,5,1,4,5,1,3,2
Usuario320,1,2,5,4,3,4,4,3,2,5
Usuario321,5,2,2,3,2,1,1,2,5,5
Usuario322,4,5,4,5,5,4,1,3,4,5
Usuario323,2,2,1,3,3,4,4,3,3,3
Usuario324,2,1,1,3,1,1,3,2,2,4
Usuario325,4,4,4,2,3,5,5,4,4,3
Usuario326,2,3,5,4,4,5,2,3,4,1
Usuario327,1,1,4,3,4,5,5,1,1,2
Usuario328,4,2,5,4,1,3,1,2,4,1
Usuario329,5,2,3,3,2,4,2,3,5,1
Usuario330,2,1,4,2,1,1,4,4,2,3
Usuario331,4,4,2,1,3,2,5,3,1,1
Usuario332,3,5,1,3,4,3,2,5,4,4
Usuario333,4,2,4,4,1,3,1,2,1,3
Usuario334,2,5,4,1,1,5,4,4,4,2
Usuario335,2,4,3,4,2,3,3,2,3,1
Usuario336,1,1,4,5,1,5,2,2,1,1
Usuario337,1,5,3,1,4,2,3,3,4,2
Usuario338,3,1,3,2,2,1,2,4,3,2
Usuario339,2,3,4,3,4,4,4,1,1,2
Usuario340,2,1,5,5,5,5,5,2,5,5
Usuario341,3,3,5,2,2,2,2,5,1,5
Usuario342,1,4,4,1,2,2,5,4,3,2
Usuario343,5,3,1,3,1,3,4,2,3,1
Usuario344,4,1,4,3,2,5,2,5,1,2
Usuario345,5,2,3,4,3,1,3,1,4,1
Usuario346,4,4,5,4,4,4,5,4,2,5
Usuario347,3,1,3,1,2,3,2,5,2,2
Usuario348,5,5,2,1,4,1,3,2,1,1
Usuario349,4,2,5,3,5,5,5,4,4,5
Usuario350,3,3,5,3,2,4,1,2,1,3
Usuario351,3,4,3,3,1,5,5,2,5,1
Usuario352,2,5,3,1,3,1,3,2,2,3
Usuario353,4,5,4,1,5,3,4,5,5,2
Usuario354,2,5,4,5,5,3,3,4,1,2
Usuario355,4,1,5,5,3,4,1,5,1,2
Usuario356,4,1,2,4,4,1,3,4,2,1
Usuario357,2,5,4,4,1,3,5,5,5,1
Usuario358,1,5,1,2,3,4,1,3,2,5
Usuario359,5,1,5,4,5,2,3,2,5,5
Usuario360,4,2,3,1,2,2,2,4,2,1
Usuario361,1,5,1,4,4,3,3,5,2,2
Usuario362,2,3,1,2,3,3,3,3,1,1
Usuario363,2,3,3,2,2,1,2,1,2,3
Usuario364,5,3,4,3,3,5,3,4,3,3
Usuario365,2,3,4,1,4,5,4,2,3,3
Usuario366,5,2,5,2,2,5,4,1,1,5
Usuario367,3,2,5,3,5,4,2,4,3,1
Usuario368,2,3,3,1,5,5,2,1,1,1
Usuario369,3,3,2,2,5,4,4,5,4,2
Usuario370,5,2,4,5,5,3,3,3,2,2
Usuario371,1,3,1,2,5,1,3,1,4,2
Usuario372,1,1,5,2,4,3,4,5,4,2
Usuario373,1,3,3,4,3,5,4,4,5,3
Usuario374,2,5,3,5,2,3,2,2,4,3
Usuario375,4,5,5,2,3,4,4,4,3,2
Usuario376,2,2,2,3,4,1,5,1,2,3
Usuario377,3,4,1,5,3,5,4,2,4,1
Usuario378,4,4,4,5,5,3,3,3,2,5
Usuario379,5,1,4,5,1,1,5,5,1,3
Usuario380,3,1,4,1,5,1,2,2,4,1
Usuario381,4,1,2,2,2,2,4,3,1,2
Usuario382,2,5,5,3,3,1,3,5,1,5
Usuario383,2,5,3,1,3,4,5,1,3,5
Usuario384,3,5,3,4,3,4,4,2,5,4
Usuario385,4,3,3,4,4,1,2,3,4,1
Usuario386,2,1,3,5,2,2,5,5,3,3
Usuario387,2,1,1,5,3,4,2,4,3,2
Usuario388,4,2,3,4,3,1,4,3,2,1
Usuario389,3,3,5,5,4,5,2,4,1,1
Usuario390,5,1,3,1,2,5,1,3,5,5
Usuario391,5,1,3,4,1,3,4,2,5,5
Usuario392,5,5,2,5,1,5,2,4,2,2
Usuario393,2,2,4,2,4,3,3,5,2,5
Usuario394,5,2,3,2,2,4,2,4,3,4
Usuario395,3,4,2,1,4,4,1,5,2,5
Usuario396,1,1,2,3,3,3,4,1,4,3
Usuario397,2,4,1,4,5,2,4,3,2,4
Usuario398,4,4,3,3,1,2,3,1,2,1
Usuario399,3,1,3,4,2,4,1,4,5,2
Usuario400,5,3,1,2,4,3,2,4,5,4
Usuario401,1,5,2,5,5,2,1,5,4,4
Usuario402,3,1,1,1,1,5,4,5,3,1
Usuario403,2,3,5,1,5,2,5,5,2,5
Usuario404,5,2,5,5,1,5,4,3,5,4
Usuario405,4,3,5,1,4,3,2,4,1,1
Usuario406,3,3,2,1,3,2,4,2,3,1
Usuario407,2,3,3,3,3,2,4,1,1,5
Usuario408,5,3,3,1,5,3,3,5,2,4
Usuario409,4,3,1,5,3,2,3,4,1,3
Usuario410,5,4,4,2,1,2,4,5,5,5
Usuario411,1,4,2,3,5,4,2,4,5,3
Usuario412,2,5,3,1,1,1,3,5,4,4
Usuario413,2,4,2,4,5,3,1,2,5,3
Usuario414,5,2,4,1,4,2,2,4,1,4
Usuario415,2,1,5,1,2,2,2,1,3,5
Usuario416,1,4,3,1,5,1,3,5,4,4
Usuario417,1,3,1,2,2,3,5,3,3,5
Usuario418,5,5,2,1,3,2,1,5,4,1
Usuario419,1,2,3,3,1,2,2,5,5,4
Usuario420,3,2,2,5,4,4,1,1,5,3
Usuario421,4,5,1,2,5,5,4,5,1,5
Usuario422,2,1,2,1,1,4,1,4,5,1
Usuario423,4,5,5,3,3,5,2,4,1,4
Usuario424,4,5,2,3,3,4,3,5,2,5
Usuario425,3,1,1,3,4,2,3,5,2,1
Usuario426,5,5,3,1,1,1,2,1,4,2
Usuario427,5,5,2,2,4,3,3,2,4,4
Usuario428,1,3,4,5,4,4,4,3,2,3
Usuario429,1,4,2,2,4,1,4,3,4,2
Usuario430,5,1,4,1,2,4,3,4,2,5
Usuario431,4,3,4,3,3,4,4,2,5,3
Usuario432,2,3,3,4,1,5,5,1,3,5
Usuario433,4,2,3,2,3,1,1,3,3,2
Usuario434,2,4,5,1,5,2,2,3,2,2
Usuario435,3,3,5,1,1,4,5,5,1,1
Usuario436,5,1,2,4,5,5,2,3,2,1
Usuario437,1,2,3,3,5,3,5,3,4,4
Usuario438,2,3,1,5,5,4,2,3,3,5
Usuario439,3,5,1,4,4,3,1,5,5,3
Usuario440,5,5,3,5,4,3,5,5,2,3
Usuario441,3,4,3,3,1,5,2,4,5,4
Usuario442,1,5,5,3,4,4,2,4,1,1
Usuario443,4,1,2,2,4,2,1,2,4,5
Usuario444,1,3,3,4,4,2,1,2,1,4
Usuario445,4,1,1,1,1,2,3,5,2,2
Usuario446,2,5,2,2,1,4,1,1,1,3
Usuario447,1,4,4,2,3,3,4,1,1,4
Usuario448,2,2,3,3,5,4,5,3,1,2
Usuario449,3,2,3,5,5,3,5,1,3,1
Usuario450,3,1,1,5,4,5,4,2,3,1
Usuario451,4,4,4,4,3,3,5,1,2,2
Usuario452,3,4,2,3,2,4,3,4,5,5
Usuario453,4,1,1,1,4,3,1,3,3,3
Usuario454,3,5,4,4,3,2,4,2,1,3
Usuario455,3,3,5,4,2,1,5,5,2,5
Usuario456,1,5,2,3,2,5,1,2,3,2
Usuario457,3,3,2,2,2,4,4,1,5,1
Usuario458,5,1,1,1,2,3,2,4,5,5
Usuario459,4,4,1,1,4,1,4,2,4,2
Usuario460,3,1,5,1,5,5,1,5,5,3
Usuario461,1,3,4,4,2,3,1,4,5,5
Usuario462,2,5,3,2,4,2,4,1,5,5
Usuario463,5,1,5,4,3,5,3,1,2,5
Usuario464,2,4,2,5,2,3,3,4,1,4
Usuario465,5,5,5,4,1,2,4,3,5,3
Usuario466,5,5,2,5,1,5,5,4,3,5
Usuario467,4,5,1,5,1,1,5,3,5,5
Usuario468,3,2,4,3,4,5,2,2,2,2
Usuario469,2,3,5,4,2,2,2,5,3,1
Usuario470,2,3,4,5,2,3,5,2,3,5
Usuario471,5,1,3,3,3,3,3,1,5,5
Usuario472,2,2,4,4,4,5,4,4,3,1
Usuario473,5,1,1,4,1,3,4,5,2,4
Usuario474,4,5,4,4,2,5,5,3,4,5
Usuario475,3,3,1,1,1,1,3,5,1,3
Usuario476,2,3,1,2,3,1,3,3,5,4
Usuario477,2,2,3,1,5,2,5,3,5,1
Usuario478,1,2,1,2,4,1,1,5,4,4
Usuario479,3,3,3,3,5,5,2,1,2,5
Usuario480,4,4,1,1,4,5,4,3,4,5
Usuario481,3,1,3,2,1,4,5,4,5,1
Usuario482,5,5,2,3,1,1,5,2,5,1
Usuario483,2,3,2,5,1,1,4,3,1,1
Usuario484,5,5,5,2,1,1,1,2,5,1
Usuario485,4,2,3,4,4,1,4,2,4,3
Usuario486,5,4,5,1,3,3,3,5,5,1
Usuario487,2,1,3,2,3,2,5,1,2,4
Usuario488,5,2,5,5,4,1,1,2,5,1
Usuario489,4,5,2,1,1,4,5,4,4,4
Usuario490,4,5,3,3,4,5,2,2,4,2
Usuario491,5,1,3,3,5,4,3,3,1,4
Usuario492,5,1,1,4,4,3,5,5,4,3
Usuario493,2,3,4,3,2,3,3,4,2,2
Usuario494,1,5,3,3,5,5,1,2,2,4
Usuario495,4,4,2,2,3,1,1,1,1,5
Usuario496,3,5,5,1,3,2,2,2,3,5
Usuario497,4,5,5,4,2,2,4,5,1,1
Usuario498,5,1,1,3,1,3,1,1,2,5
Usuario499,5,2,4,3,2,1,3,3,5,1
Usuario500,1,1,3,2,3,3,1,3,3,5
Usuario501,4,5,4,5,3,1,5,5,3,1
Usuario502,4,1,4,5,1,3,1,5,4,5
Usuario503,2,3,5,5,5,1,1,1,2,2
Usuario504,2,4,4,2,4,2,2,2,2,1
Usuario505,5,3,4,2,4,5,4,2,5,5
Usuario506,1,1,1,2,5,4,2,1,3,2
Usuario507,1,5,4,3,2,3,4,4,2,4
Usuario508,2,2,4,1,2,4,1,5,2,5
Usuario509,1,3,1,4,1,4,1,2,2,4
Usuario510,2,1,1,4,3,2,2,2,1,5
Usuario511,1,5,3,4,1,5,3,1,4,3
Usuario512,2,3,4,2,4,5,1,2,4,1
Usuario513,4,3,2,1,5,1,5,3,1,2
Usuario514,4,5,2,2,2,1,1,3,3,3
Usuario515,2,5,5,1,3,4,2,3,5,5
Usuario516,2,3,5,4,4,5,1,1,2,1
Usuario517,2,4,2,5,5,3,3,4,2,5
Usuario518,3,4,2,2,4,5,5,4,4,5
Usuario519,3,1,3,3,1,5,1,4,5,1
Usuario520,4,3,3,3,3,2,1,3,4,3
Usuario521,3,4,4,1,5,5,3,4,4,2
Usuario522,4,4,2,3,2,1,5,2,4,1
Usuario523,1,4,2,1,2,2,2,4,5,1
Usuario524,3,1,1,1,4,3,4,1,2,5
Usuario525,1,4,3,5,1,3,2,2,3,5
Usuario526,4,4,2,5,1,5,1,4,2,5
Usuario527,1,3,3,1,1,2,2,2,4,1
Usuario528,3,5,5,3,2,5,3,1,5,3
Usuario529,3,1,1,3,2,5,4,5,1,3
Usuario530,2,1,1,5,5,4,1,5,3,1
Usuario531,4,1,4,3,5,3,1,3,5,4
Usuario532,1,1,5,3,2,1,5,2,1,1
